BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr2,1427.23281,252.811852,288.333333,28.4848485,17.5881481,11.8213783,13.1310409,2.94172195,1.690283426,50800000,2.98E+08,4396823.5,2873040.8,20,23,16
bcr5,70.2281482,68.7878788,11.5400844,29.9393939,24.7437037,15.4078762,11.9277748,1.76596498,0.8969969,30100000,1.71E+08,3277685.8,3405010.5,30,21,11
bcr6,186.363636,81.0785185,50.7805907,88.1212121,23.4992593,16.0407876,15.3805518,0.5830576,0.119769863,32200000,1.64E+08,3749860,6044853.5,30,23,14
bcr7,274.545455,131.211852,70.1898734,16.1212121,8.29925926,13.8607595,1.92217379,0.63158168,0.405107242,31900000,1.51E+08,4080230,6663173,40,22,14
bcr8,127.878788,99.8044444,43.8888889,30.0606061,26.9955556,18.0801688,9.2131778,1.68779582,0.629270739,37400000,1.67E+08,4348804,5185202.5,20,20,13
bcr11,130.424242,37.3659259,46.5611814,31.6363636,11.7955556,14.9156118,19.0844397,2.99704949,1.545401989,32600000,2.82E+08,5026234,3773246,20,22,14
bcr12,101.69697,39.5288889,33.4810127,75.8787879,14.2844444,14.5639944,11.1325898,4.03013732,1.467164796,30700000,2.93E+08,3861771.2,4171780.2,20,23,14
bcr14,236.363636,135.478519,70.1898734,19.6363636,10.402963,14.7046414,0,0.62049625,0.389024169,56900000,2.20E+08,5190143,5108901.5,20,21,13
bcr16,293.030303,150.53037,71.6666667,85.4545455,15.2325926,14.7749648,19.6457468,2.37087365,1.857286673,64500000,2.31E+08,4557724.5,4822709.5,30,19,13
bcr18,243.939394,103.004444,51.2728551,86.7878788,25.84,12.4542897,20.873606,2.95215821,0.614565503,51800000,2.41E+08,4206094,5232700.5,20,25,14
bcr19,308.150087,78.642963,75.604782,62.5454546,35.6242875,5.93811533,20.4177778,1.30856837,0.638588043,57200000,2.55E+08,5190868,2800112.5,20,25,15
bcr20,181.575758,52.4474074,50.2180028,86.6666667,56.1307051,6.44444444,40.24,0.85980784,0.435376383,67500000,2.26E+08,4686549.5,2861233,50,21,12
bcr21,347.893432,84.0948148,77.8551336,36.2424242,23.7362963,5.82559775,27.8314746,2.02028679,0.510768159,47300000,2.26E+08,4648704,2697970.2,30,28,17
bcr22,88.7272727,29.4251852,22.281294,18.6992593,13.4545455,14.1420535,3.92914936,2.56977656,1.365677243,27800000,1.81E+08,3806580.5,351941.06,10,21,11
bcr24,120,75.0281482,41.2165963,51.5151515,2.41429659,14.3530239,10.8177778,1.21965978,0.617877131,41900000,3.38E+08,3758475.5,3183494.2,30,15,9.7
